Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Education level,Reporting Type,Sex,Type of skill,Units,2000,2001,2003,2004,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,ISO3
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),4,Afghanistan,GRAD23,G,BOTHSEX,SKILL_MATH,PERCENT,,,,,,,,,,,,,,,24.5,,,,,AFG
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),4,Afghanistan,GRAD23,G,BOTHSEX,SKILL_READ,PERCENT,,,,,,,,,,,,,,,22,,,,,AFG
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),4,Afghanistan,GRAD23,G,FEMALE,SKILL_MATH,PERCENT,,,,,,,,,,,,,,,22.5,,,,,AFG
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),4,Afghanistan,GRAD23,G,FEMALE,SKILL_READ,PERCENT,,,,,,,,,,,,,,,22.5,,,,,AFG
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),4,Afghanistan,GRAD23,G,MALE,SKILL_MATH,PERCENT,,,,,,,,,,,,,,,26.5,,,,,AFG
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),4,Afghanistan,GRAD23,G,MALE,SKILL_READ,PERCENT,,,,,,,,,,,,,,,21.5,,,,,AFG
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),4,Afghanistan,PRIMAR,G,BOTHSEX,SKILL_MATH,PERCENT,,,,,,,,,,,,11,,,,,,,,AFG
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),4,Afghanistan,PRIMAR,G,BOTHSEX,SKILL_READ,PERCENT,,,,,,,,,,,,13,,,,,,,,AFG
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),8,Albania,LOWSEC,G,BOTHSEX,SKILL_MATH,PERCENT,36.61,,,,,,,32.27,,,39.34,,,46.72,,,57.63,,,ALB
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),8,Albania,LOWSEC,G,BOTHSEX,SKILL_READ,PERCENT,29.64,,,,,,,43.33,,,47.66,,,,,,47.76,,,ALB
