Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Reporting Type,Sex,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,ISO3
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",8,Albania,G,BOTHSEX,PERCENT,54.07937,56.59373,,63.70377,60.75647,,,,65.03185,72.28605,74.16339,78.8836,84.94154,86.70171,90.76092,88.12827,95.70909,97.24487,97.0732,,,,,ALB
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",8,Albania,G,FEMALE,PERCENT,,60.87087,,66.38779,62.13843,,,,65.32444,73.5052,74.63991,80.18825,86.35106,89.74456,93.01367,90.04306,97.03653,100,98.15481,,,,,ALB
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",8,Albania,G,MALE,PERCENT,,52.66008,,61.25696,59.49406,,,,64.76811,71.20109,73.74577,77.75655,83.7272,84.0783,88.81087,86.46084,94.54732,94.80704,96.10306,,,,,ALB
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",12,Algeria,G,BOTHSEX,PERCENT,,,,8.63119,11.26857,13.30605,33.98955,,43.37556,84.43027,88.85497,84.72997,,,,,,,,,,,,DZA
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",12,Algeria,G,FEMALE,PERCENT,,,,8.56741,11.31619,12.85304,33.83005,,42.14056,84.01507,86.46482,85.66731,,,,,,,,,,,,DZA
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",12,Algeria,G,MALE,PERCENT,,,,8.69229,11.22297,13.73974,34.1423,,44.55934,84.8285,91.14876,83.83022,,,,,,,,,,,,DZA
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",24,Angola,G,BOTHSEX,PERCENT,,,,,,,,,63.83331,59.60203,55.26911,55.6802,,,,,65.15899,,,,,,,AGO
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",24,Angola,G,FEMALE,PERCENT,,,,,,,,,56.75762,56.12744,55.6903,65.56219,,,,,61.48497,,,,,,,AGO
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",24,Angola,G,MALE,PERCENT,,,,,,,,,70.97441,63.1089,54.84402,45.71702,,,,,68.81896,,,,,,,AGO
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",660,Anguilla,G,BOTHSEX,PERCENT,98.40125,98.83721,93.29316,95.2381,92.8125,96.79901,95.69892,99.17515,94.79258,90.48495,89.27525,96.11122,,,,,,,,92.8125,,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",660,Anguilla,G,FEMALE,PERCENT,96.83884,97.70115,100,100,100,93.52843,98.92473,98.32397,89.53147,100,78.336,92.10577,,,,,,,,100,,,,
4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",660,Anguilla,G,MALE,PERCENT,100,100,86.43035,90.47619,85.625,100,92.47312,100,100,81.25252,100,100,,,,,,,,85.76733,,,,
