Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Age,Location,Reporting Type,Sex,Type of skill,Units,2013,2014,2015,2016,2017,2018,2019,2020,ISO3
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,BOTHSEX,CMFL,PERCENT,,,,,,,16.12054,,ALB
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,BOTHSEX,COPA,PERCENT,,,,,,,16.12054,19.20362,ALB
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,BOTHSEX,EPRS,PERCENT,,,,,,,9.0473,12.47461,ALB
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,BOTHSEX,PCPR,PERCENT,,,,,,,1.56061,3.67419,ALB
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,BOTHSEX,SOFT,PERCENT,,,,,,,13.89042,18.54826,ALB
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,BOTHSEX,TRAF,PERCENT,,,,,,,19.99063,25.02329,ALB
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,FEMALE,COPA,PERCENT,,,,,,,14.60822,17.92976,ALB
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,FEMALE,EPRS,PERCENT,,,,,,,9.24018,12.19506,ALB
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,FEMALE,PCPR,PERCENT,,,,,,,1.35666,3.28212,ALB
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,FEMALE,SOFT,PERCENT,,,,,,,12.57493,17.58148,ALB
