Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Age,Location,Reporting Type,Sex,Type of skill,Units,2013,2014,2015,2016,2017,2018,2019,2020,ISO3,latest_value,latest_value_year
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,BOTHSEX,CMFL,PERCENT,,,,,,,16.12054,,ALB,16.12054,2019
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,BOTHSEX,COPA,PERCENT,,,,,,,16.12054,19.20362,ALB,19.20362,2020
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,BOTHSEX,EPRS,PERCENT,,,,,,,9.0473,12.47461,ALB,12.47461,2020
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,BOTHSEX,PCPR,PERCENT,,,,,,,1.56061,3.67419,ALB,3.67419,2020
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,BOTHSEX,SOFT,PERCENT,,,,,,,13.89042,18.54826,ALB,18.54826,2020
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,BOTHSEX,TRAF,PERCENT,,,,,,,19.99063,25.02329,ALB,25.02329,2020
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,FEMALE,COPA,PERCENT,,,,,,,14.60822,17.92976,ALB,17.92976,2020
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,FEMALE,EPRS,PERCENT,,,,,,,9.24018,12.19506,ALB,12.19506,2020
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,FEMALE,PCPR,PERCENT,,,,,,,1.35666,3.28212,ALB,3.28212,2020
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,FEMALE,SOFT,PERCENT,,,,,,,12.57493,17.58148,ALB,17.58148,2020
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,FEMALE,TRAF,PERCENT,,,,,,,18.44292,24.1899,ALB,24.1899,2020
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,MALE,COPA,PERCENT,,,,,,,17.64465,20.48857,ALB,20.48857,2020
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,MALE,EPRS,PERCENT,,,,,,,8.85291,12.7566,ALB,12.7566,2020
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,MALE,PCPR,PERCENT,,,,,,,1.76615,4.06967,ALB,4.06967,2020
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,MALE,SOFT,PERCENT,,,,,,,15.21616,19.52345,ALB,19.52345,2020
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,,,G,MALE,TRAF,PERCENT,,,,,,,21.5504,25.86394,ALB,25.86394,2020
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,BOTHSEX,ARSP,PERCENT,,,,,,9.40813,,,DZA,9.40813,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,BOTHSEX,CMFL,PERCENT,,,,,,21.45077,,,DZA,21.45077,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,BOTHSEX,COPA,PERCENT,,,,,,17.72001,,,DZA,17.72001,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,BOTHSEX,EMAIL,PERCENT,,,,,,16.14774,,,DZA,16.14774,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,BOTHSEX,EPRS,PERCENT,,,,,,7.21477,,,DZA,7.21477,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,BOTHSEX,INST,PERCENT,,,,,,16.19894,,,DZA,16.19894,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,BOTHSEX,PCPR,PERCENT,,,,,,6.89336,,,DZA,6.89336,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,BOTHSEX,SOFT,PERCENT,,,,,,15.54998,,,DZA,15.54998,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,BOTHSEX,TRAF,PERCENT,,,,,,17.31231,,,DZA,17.31231,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,FEMALE,ARSP,PERCENT,,,,,,5.80744,,,DZA,5.80744,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,FEMALE,CMFL,PERCENT,,,,,,15.8734,,,DZA,15.8734,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,FEMALE,COPA,PERCENT,,,,,,12.52083,,,DZA,12.52083,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,FEMALE,EMAIL,PERCENT,,,,,,10.47115,,,DZA,10.47115,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,FEMALE,EPRS,PERCENT,,,,,,4.56856,,,DZA,4.56856,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,FEMALE,INST,PERCENT,,,,,,10.25323,,,DZA,10.25323,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,FEMALE,PCPR,PERCENT,,,,,,4.66285,,,DZA,4.66285,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,FEMALE,SOFT,PERCENT,,,,,,10.49518,,,DZA,10.49518,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,FEMALE,TRAF,PERCENT,,,,,,11.73322,,,DZA,11.73322,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,MALE,ARSP,PERCENT,,,,,,12.95813,,,DZA,12.95813,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,MALE,CMFL,PERCENT,,,,,,26.94962,,,DZA,26.94962,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,MALE,COPA,PERCENT,,,,,,22.846,,,DZA,22.846,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,MALE,EMAIL,PERCENT,,,,,,21.74442,,,DZA,21.74442,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,MALE,EPRS,PERCENT,,,,,,9.82373,,,DZA,9.82373,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,MALE,INST,PERCENT,,,,,,22.06094,,,DZA,22.06094,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,MALE,PCPR,PERCENT,,,,,,9.09248,,,DZA,9.09248,2018
4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,,,G,MALE,SOFT,PERCENT,,,,,,20.53361,,,DZA,20.53361,2018
