Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Education level,Reporting Type,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,ISO3
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",8,Albania,LOWSEC,G,PERCENT,,,,,,,,,,,,,,,,,,,68.32714,83.92435,100,,ALB
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",8,Albania,PRIMAR,G,PERCENT,,,,,,,,,,,,,,,,,,,46.76692,50.70873,56.81391,,ALB
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",8,Albania,SECOND,G,PERCENT,,,,,,,,,,,,,,,,,,,74.40217,85.90034,100,,ALB
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",8,Albania,UPPSEC,G,PERCENT,,,,,,,,,,,,,,,,,,76.19048,90.90909,90.94567,100,,ALB
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",12,Algeria,LOWSEC,G,PERCENT,,,,,,,,,,,,,,,,,,,,,59.89676,,DZA
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",12,Algeria,PRIMAR,G,PERCENT,,,,,,,,,,,,,,,,,,,,,5.32541,,DZA
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",12,Algeria,SECOND,G,PERCENT,,,,,,,,,,,,,,,,,,,,,64.2896,,DZA
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",12,Algeria,UPPSEC,G,PERCENT,,,,,,,,,,,,,,,,,,,,,73.36667,,DZA
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",20,Andorra,LOWSEC,G,PERCENT,,,,,,,,,,,,,,,,,100,100,100,100,100,,
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",20,Andorra,PRIMAR,G,PERCENT,,,,,,,,,,,,,,,,,100,100,100,100,100,,
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",20,Andorra,SECOND,G,PERCENT,,,,,,,,,,,,,,,,,100,100,100,100,100,,
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",20,Andorra,UPPSEC,G,PERCENT,,,,,,,,,,,,,,,,,100,100,100,100,100,,
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",24,Angola,LOWSEC,G,PERCENT,,,,,,,,,,,,,,,,,13.22609,,,,,,AGO
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",24,Angola,PRIMAR,G,PERCENT,,,,,,,,,,,,,,,,,2.70028,,,,,,AGO
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",24,Angola,SECOND,G,PERCENT,,,,,,,,,,,,,,,,,16.74672,,,,,,AGO
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",24,Angola,UPPSEC,G,PERCENT,,,,,,,,,,,,,,,,,25.64972,,,,,,AGO
