Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Education level,Reporting Type,Sex,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,ISO3
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,LOWSEC,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,55.97,,51.32635,,,ALB
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,LOWSEC,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,59.39298,,47.1803,,,ALB
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,LOWSEC,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,49.04714,,60.34557,,,ALB
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,PREPRI,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,85.82278,,,,,ALB
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,PREPRI,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,85.82278,,,,,ALB
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,PREPRI,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,0,,,,,ALB
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,PRIMAR,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,89.92081,,,,,ALB
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,PRIMAR,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,90.90579,,,,,ALB
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,PRIMAR,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,84.3686,,,,,ALB
4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,SECOND,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,,52.39228,,,ALB
