Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Education level,Reporting Type,Sex,Type of skill,Units,2000,2001,2003,2004,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,ISO3,latest_value,latest_value_year
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),4,Afghanistan,GRAD23,G,BOTHSEX,SKILL_MATH,PERCENT,,,,,,,,,,,,,,,24.5,,,,,AFG,24.5,2016
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),4,Afghanistan,GRAD23,G,BOTHSEX,SKILL_READ,PERCENT,,,,,,,,,,,,,,,22,,,,,AFG,22,2016
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),4,Afghanistan,GRAD23,G,FEMALE,SKILL_MATH,PERCENT,,,,,,,,,,,,,,,22.5,,,,,AFG,22.5,2016
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),4,Afghanistan,GRAD23,G,FEMALE,SKILL_READ,PERCENT,,,,,,,,,,,,,,,22.5,,,,,AFG,22.5,2016
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),4,Afghanistan,GRAD23,G,MALE,SKILL_MATH,PERCENT,,,,,,,,,,,,,,,26.5,,,,,AFG,26.5,2016
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),4,Afghanistan,GRAD23,G,MALE,SKILL_READ,PERCENT,,,,,,,,,,,,,,,21.5,,,,,AFG,21.5,2016
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),4,Afghanistan,PRIMAR,G,BOTHSEX,SKILL_MATH,PERCENT,,,,,,,,,,,,11,,,,,,,,AFG,11,2013
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),4,Afghanistan,PRIMAR,G,BOTHSEX,SKILL_READ,PERCENT,,,,,,,,,,,,13,,,,,,,,AFG,13,2013
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),8,Albania,LOWSEC,G,BOTHSEX,SKILL_MATH,PERCENT,36.61,,,,,,,32.27,,,39.34,,,46.72,,,57.63,,,ALB,57.63,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),8,Albania,LOWSEC,G,BOTHSEX,SKILL_READ,PERCENT,29.64,,,,,,,43.33,,,47.66,,,,,,47.76,,,ALB,47.76,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),8,Albania,LOWSEC,G,FEMALE,SKILL_MATH,PERCENT,40.27,,,,,,,33.67,,,39.7,,,48.81,,,59.42,,,ALB,59.42,2018
4,4.1,4.1.1,SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),8,Albania,LOWSEC,G,FEMALE,SKILL_READ,PERCENT,39.56,,,,,,,56.36,,,50.72,,,,,,58.04,,,ALB,58.04,2018
