ObjectId,goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level_,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,education_level_code,education_level_desc,UnitMultiplier,Units_code,Units_desc,timeSeries_id,timeSeries_keys,n_years,min_year,max_year,years,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,value_2020,latest_value,footnotes,nature
1,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",480,Mauritius,4,14,Eastern Africa,Country,57.568022,-20.28581998,MUS,1,1,ISCED11_1,Primary,,PT,Percentage,SE_INF_DSBL__ISCED11_1,education_level,4,2016,2019,"[2016, 2017, 2018, 2019]",,,,,,,,,,,,,,,,,37.10692,31.13208,31.44654,28.84013,,28.84013,,C: Country data
2,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",480,Mauritius,4,14,Eastern Africa,Country,57.568022,-20.28581998,MUS,1,1,ISCED11_3,Upper secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_3,education_level,4,2016,2019,"[2016, 2017, 2018, 2019]",,,,,,,,,,,,,,,,,36.57143,34.65909,45.2514,44.1989,,44.1989,,C: Country data
3,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",492,Monaco,5,155,Western Europe,Country,7.424214814,43.73532918,MCO,1,1,ISCED11_2,Lower secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_2,education_level,4,2016,2020,"[2016, 2017, 2019, 2020]",,,,,,,,,,,,,,,,,100,100,,100,100,100,,C: Country data
4,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",492,Monaco,5,155,Western Europe,Country,7.424214814,43.73532918,MCO,1,1,ISCED11_1,Primary,,PT,Percentage,SE_INF_DSBL__ISCED11_1,education_level,4,2016,2020,"[2016, 2017, 2019, 2020]",,,,,,,,,,,,,,,,,100,100,,100,100,100,,C: Country data
5,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",492,Monaco,5,155,Western Europe,Country,7.424214814,43.73532918,MCO,1,1,ISCED11_3,Upper secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_3,education_level,4,2016,2020,"[2016, 2017, 2019, 2020]",,,,,,,,,,,,,,,,,100,100,,100,100,100,,C: Country data
6,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",500,Montserrat,4,29,Caribbean,Country,-62.19261223,16.73558313,MSR,0,1,ISCED11_2,Lower secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_2,education_level,2,2018,2019,"[2018, 2019]",,,,,,,,,,,,,,,,,,,0,0,,0,This data point is NIL for the submitting nation.,C: Country data
7,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",500,Montserrat,4,29,Caribbean,Country,-62.19261223,16.73558313,MSR,0,1,ISCED11_1,Primary,,PT,Percentage,SE_INF_DSBL__ISCED11_1,education_level,2,2018,2019,"[2018, 2019]",,,,,,,,,,,,,,,,,,,25,0,,0,[2019]: This data point is NIL for the submitting nation.,C: Country data
8,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",500,Montserrat,4,29,Caribbean,Country,-62.19261223,16.73558313,MSR,0,1,ISCED11_3,Upper secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_3,education_level,2,2018,2019,"[2018, 2019]",,,,,,,,,,,,,,,,,,,0,0,,0,This data point is NIL for the submitting nation.,C: Country data
9,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",504,Morocco,4,15,Northern Africa,Country,-6.281942841,31.8440131,MAR,1,1,ISCED11_2,Lower secondary,,PT,Percentage,SE_INF_DSBL__ISCED11_2,education_level,3,2017,2019,"[2017, 2018, 2019]",,,,,,,,,,,,,,,,,,30.61798,30.40268,31.6947,,31.6947,,C: Country data
10,4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",C040a01,4.a.1,"Proportion of schools offering basic services, by type of service",2021.Q2.G.03,"['means of implementation', 'education', 'educational facilities', 'persons with disabilities']",SE_INF_DSBL,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",504,Morocco,4,15,Northern Africa,Country,-6.281942841,31.8440131,MAR,1,1,ISCED11_1,Primary,,PT,Percentage,SE_INF_DSBL__ISCED11_1,education_level,3,2017,2019,"[2017, 2018, 2019]",,,,,,,,,,,,,,,,,,17.30172,17.29386,20.07194,,20.07194,,C: Country data
