featurecla,scalerank,SOVEREIGNT,SOV_A3,NAME,NAME_LONG,NAME_EN,latitude,longitude
Admin-0 country,"1",Fiji,FJI,Fiji,Fiji,Fiji,-17.31630943,163.85316464
Admin-0 country,"1",United Republic of Tanzania,TZA,Tanzania,Tanzania,Tanzania,-6.25773243,34.75298985
Admin-0 country,"1",Western Sahara,SAH,W. Sahara,Western Sahara,Western Sahara,24.29117296,-12.13783111
Admin-0 country,"1",Canada,CAN,Canada,Canada,Canada,61.46907615,-98.14238137
Admin-0 country,"1",United States of America,US1,United States of America,United States,United States of America,45.705628,-112.59943591
Admin-0 country,"1",Kazakhstan,KA1,Kazakhstan,Kazakhstan,Kazakhstan,48.19166075,67.28461098
Admin-0 country,"1",Uzbekistan,UZB,Uzbekistan,Uzbekistan,Uzbekistan,41.74860266,63.20363953
Admin-0 country,"1",Papua New Guinea,PNG,Papua New Guinea,Papua New Guinea,Papua New Guinea,-6.45164451,145.31757463
Admin-0 country,"1",Indonesia,IDN,Indonesia,Indonesia,Indonesia,-2.22173794,117.42340756
Admin-0 country,"1",Argentina,ARG,Argentina,Argentina,Argentina,-35.44682149,-65.17536077
Admin-0 country,"1",Chile,CHL,Chile,Chile,Chile,-39.04701431,-71.52064395
Admin-0 country,"1",Democratic Republic of the Congo,COD,Dem. Rep. Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,-2.85027571,23.58295583
Admin-0 country,"1",Somalia,SOM,Somalia,Somalia,Somalia,4.75234776,45.72670077
Admin-0 country,"1",Kenya,KEN,Kenya,Kenya,Kenya,0.59596625,37.79155529
Admin-0 country,"1",Sudan,SDN,Sudan,Sudan,Sudan,16.5208863767697,30.54738836
Admin-0 country,"1",Chad,TCD,Chad,Chad,Chad,15.3288674,18.58132953
Admin-0 country,"1",Haiti,HTI,Haiti,Haiti,Haiti,18.90070069,-72.65801331
Admin-0 country,"1",Dominican Republic,DOM,Dominican Rep.,Dominican Republic,Dominican Republic,18.88448709,-70.46235846
Admin-0 country,"1",Russia,RUS,Russia,Russian Federation,Russia,61.96166349,96.80331818
Admin-0 country,"1",The Bahamas,BHS,Bahamas,Bahamas,The Bahamas,25.51549173,-77.9299708
Admin-0 country,"1",United Kingdom,GB1,Falkland Is.,Falkland Islands / Malvinas,Falkland Islands,-51.71322177,-59.42097279
Admin-0 country,"1",Norway,NOR,Norway,Norway,Norway,69.15685631,15.46811996
Admin-0 country,"1",Denmark,DN1,Greenland,Greenland,Greenland,74.77048769,-41.50018111
Admin-0 country,"3",France,FR1,Fr. S. Antarctic Lands,French Southern and Antarctic Lands,French Southern and Antarctic Lands,-49.30645491,69.53158047
Admin-0 country,"1",East Timor,TLS,Timor-Leste,Timor-Leste,East Timor,-8.76776036,125.96630027
Admin-0 country,"1",South Africa,ZAF,South Africa,South Africa,South Africa,-28.94703326,25.04801388
Admin-0 country,"1",Lesotho,LSO,Lesotho,Lesotho,Lesotho,-29.62529049,28.1701053
Admin-0 country,"1",Mexico,MEX,Mexico,Mexico,Mexico,23.9353719,-102.57634952
Admin-0 country,"1",Uruguay,URY,Uruguay,Uruguay,Uruguay,-32.78090437,-56.00327867
Admin-0 country,"1",Brazil,BRA,Brazil,Brazil,Brazil,-10.80677364,-53.05434004
